"region";"key";"category";"value";"wat";"level"
"Lava";"union";"C";"75.35";"15.20";"ADVANCED"
"Lava";"Virtual inheritance";"OOP";"68.24";"10.90";"ADVANCED"
"Lava";"VLA Variable Length Array";"CPP";"77.75";"18.20";"ADVANCED"
"Lava";"void *";"PTR";"83.07";"12";"ADVANCED"
"Lava";"volatile";"C";"80.53";"12.60";"ADVANCED"
"Leads to Lava";"#define";"MACRO";"79.41";"4.30";"INTERMEDIATE"
"Leads to Lava";"ADL (Argument-dependent lookup)";"TMP";"68.06";"30.90";"ADVANCED"
"Leads to Lava";"Concurrency";"THR";"59.98";"6.90";"INTERMEDIATE"
"Leads to Lava";"dynamic_cast";"CASTS";"68.23";"12.80";"INTERMEDIATE"
"Leads to Lava";"Exceptions";"CPP";"58.20";"13.40";"BEGINNER"
"Leads to Lava";"friend";"OOP";"63.52";"11.90";"INTERMEDIATE"
"Leads to Lava";"iostream";"OUT";"57.68";"12.20";"BEGINNER"
"Leads to Lava";"new/delete";"MMM";"72.00";"14.30";"INTERMEDIATE"
"Leads to Lava";"Out parameters";"PASS";"74.25";"9.50";"INTERMEDIATE"
"Leads to Lava";"Pass parameter by pointer *";"PASS";"67.26";"15.90";"INTERMEDIATE"
"Leads to Lava";"Pass parameter by reference";"PASS";"68.54";"5.80";"BEGINNER"
"Leads to Lava";"Pointer arithmetic";"PTR";"76.96";"3.30";"INTERMEDIATE"
"Leads to Lava";"Standard library header: <random>";"STL";"60.02";"18.80";"ADVANCED"
"Leads to Lava";"std::enable_shared_from_this";"STL";"62.11";"29.80";"ADVANCED"
"Leads to Lava";"std::initializer_list";"CPP";"62.26";"12.30";"BEGINNER"
"Leads to Lava";"std::memory_order";"STL";"66.67";"32.50";"ADVANCED"
"Leads to Lava";"Template meta programming";"TMP";"62.70";"7.40";"INTERMEDIATE"
"Not Lava";"[[maybe_unused]]";"CPP";"73.38";"19.70";"BEGINNER"
"Not Lava";"{fmt}";"OUT";"90.20";"18.40";"BEGINNER"
"Not Lava";"#pragma once";"MACRO";"77.49";"13.80";"BEGINNER"
"Not Lava";"anonymous namespace";"CPP";"70.34";"15.70";"INTERMEDIATE"
"Not Lava";"ASan (Address Sanitizer)";"TOOLS";"89.69";"9.80";"BEGINNER"
"Not Lava";"atomics";"THR";"69.91";"15.60";"INTERMEDIATE"
"Not Lava";"auto";"CTP";"78.77";"5.70";"BEGINNER"
"Not Lava";"bitwise operations";"CPP";"83.35";"3.20";"BEGINNER"
"Not Lava";"C-style for loops";"C";"61.83";"14.60";"BEGINNER"
"Not Lava";"clang-format";"TOOLS";"82.35";"10.50";"BEGINNER"
"Not Lava";"clang-tidy";"TOOLS";"84.30";"17.10";"BEGINNER"
"Not Lava";"class";"OOP";"70.00";"5.90";"BEGINNER"
"Not Lava";"CMake";"BUILD";"44.70";"16.10";"INTERMEDIATE"
"Not Lava";"Concepts";"TMP";"86.19";"16.70";"INTERMEDIATE"
"Not Lava";"const";"CPP";"92.86";"7.50";"BEGINNER"
"Not Lava";"consteval";"CTP";"87.62";"24.10";"INTERMEDIATE"
